"(-29.34, -29.24]",0
"(-29.24, -29.14]",0
"(-29.14, -29.04]",0
"(-29.04, -28.94]",1
"(-28.94, -28.84]",0
"(-28.84, -28.74]",0
"(-28.74, -28.64]",0
"(-28.64, -28.54]",0
"(-28.54, -28.44]",0
"(-28.44, -28.34]",0
"(-28.34, -28.24]",0
"(-28.24, -28.14]",1
"(-28.14, -28.04]",0
"(-28.04, -27.94]",0
"(-27.94, -27.84]",0
"(-27.84, -27.74]",0
"(-27.74, -27.64]",0
"(-27.64, -27.54]",1
"(-27.54, -27.44]",0
"(-27.44, -27.34]",0
"(-27.34, -27.24]",1
"(-27.24, -27.14]",3
"(-27.14, -27.04]",1
"(-27.04, -26.94]",0
"(-26.94, -26.84]",0
"(-26.84, -26.74]",0
"(-26.74, -26.64]",1
"(-26.64, -26.54]",0
"(-26.54, -26.44]",0
"(-26.44, -26.34]",2
"(-26.34, -26.24]",0
"(-26.24, -26.14]",0
"(-26.14, -26.04]",1
"(-26.04, -25.94]",1
"(-25.94, -25.84]",0
"(-25.84, -25.74]",2
"(-25.74, -25.64]",2
"(-25.64, -25.54]",0
"(-25.54, -25.44]",0
"(-25.44, -25.34]",1
"(-25.34, -25.24]",1
"(-25.24, -25.14]",1
"(-25.14, -25.04]",4
"(-25.04, -24.94]",1
"(-24.94, -24.84]",0
"(-24.84, -24.74]",3
"(-24.74, -24.64]",0
"(-24.64, -24.54]",0
"(-24.54, -24.44]",2
"(-24.44, -24.34]",3
"(-24.34, -24.24]",5
"(-24.24, -24.14]",7
"(-24.14, -24.04]",2
"(-24.04, -23.94]",2
"(-23.94, -23.84]",4
"(-23.84, -23.74]",9
"(-23.74, -23.64]",6
"(-23.64, -23.54]",16
"(-23.54, -23.44]",30
"(-23.44, -23.34]",31
"(-23.34, -23.24]",68
"(-23.24, -23.14]",72
"(-23.14, -23.04]",171
"(-23.04, -22.94]",278
"(-22.94, -22.84]",394
"(-22.84, -22.74]",654
"(-22.74, -22.64]",877
"(-22.64, -22.54]",1279
"(-22.54, -22.44]",1841
"(-22.44, -22.34]",2458
"(-22.34, -22.24]",3130
"(-22.24, -22.14]",4087
"(-22.14, -22.04]",5206
"(-22.04, -21.94]",6303
"(-21.94, -21.84]",7488
"(-21.84, -21.74]",9339
"(-21.74, -21.64]",11053
"(-21.64, -21.54]",12565
"(-21.54, -21.44]",14307
"(-21.44, -21.34]",15748
"(-21.34, -21.24]",17079
"(-21.24, -21.14]",18427
"(-21.14, -21.04]",19547
"(-21.04, -20.94]",20349
"(-20.94, -20.84]",21437
"(-20.84, -20.74]",21443
"(-20.74, -20.64]",21393
"(-20.64, -20.54]",21226
"(-20.54, -20.44]",20449
"(-20.44, -20.34]",19900
"(-20.34, -20.24]",19471
"(-20.24, -20.14]",18529
"(-20.14, -20.04]",17258
"(-20.04, -19.94]",16509
"(-19.94, -19.84]",15609
"(-19.84, -19.74]",14944
"(-19.74, -19.64]",14119
"(-19.64, -19.54]",12947
"(-19.54, -19.44]",12224
"(-19.44, -19.34]",11086
"(-19.34, -19.24]",9987
"(-19.24, -19.14]",8886
"(-19.14, -19.04]",7721
"(-19.04, -18.94]",6814
"(-18.94, -18.84]",6166
"(-18.84, -18.74]",5485
"(-18.74, -18.64]",5013
"(-18.64, -18.54]",4402
"(-18.54, -18.44]",4065
"(-18.44, -18.34]",3626
"(-18.34, -18.24]",3424
"(-18.24, -18.14]",3057
"(-18.14, -18.04]",2757
"(-18.04, -17.94]",2580
"(-17.94, -17.84]",2346
"(-17.84, -17.74]",2086
"(-17.74, -17.64]",1945
"(-17.64, -17.54]",1816
"(-17.54, -17.44]",1606
"(-17.44, -17.34]",1558
"(-17.34, -17.24]",1342
"(-17.24, -17.14]",1256
"(-17.14, -17.04]",1137
"(-17.04, -16.94]",1011
"(-16.94, -16.84]",904
"(-16.84, -16.74]",801
"(-16.74, -16.64]",759
"(-16.64, -16.54]",652
"(-16.54, -16.44]",517
"(-16.44, -16.34]",436
"(-16.34, -16.24]",441
"(-16.24, -16.14]",348
"(-16.14, -16.04]",275
"(-16.04, -15.94]",249
"(-15.94, -15.84]",232
"(-15.84, -15.74]",230
"(-15.74, -15.64]",199
"(-15.64, -15.54]",165
"(-15.54, -15.44]",167
"(-15.44, -15.34]",169
"(-15.34, -15.24]",157
"(-15.24, -15.14]",126
"(-15.14, -15.04]",119
"(-15.04, -14.94]",118
"(-14.94, -14.84]",114
"(-14.84, -14.74]",118
"(-14.74, -14.64]",89
"(-14.64, -14.54]",86
"(-14.54, -14.44]",106
"(-14.44, -14.34]",91
"(-14.34, -14.24]",88
"(-14.24, -14.14]",71
"(-14.14, -14.04]",82
"(-14.04, -13.94]",68
"(-13.94, -13.84]",72
"(-13.84, -13.74]",67
"(-13.74, -13.64]",64
"(-13.64, -13.54]",44
"(-13.54, -13.44]",43
"(-13.44, -13.34]",40
"(-13.34, -13.24]",34
"(-13.24, -13.14]",29
"(-13.14, -13.04]",29
"(-13.04, -12.94]",26
"(-12.94, -12.84]",32
"(-12.84, -12.74]",20
"(-12.74, -12.64]",34
"(-12.64, -12.54]",23
"(-12.54, -12.44]",18
"(-12.44, -12.34]",17
"(-12.34, -12.24]",19
"(-12.24, -12.14]",15
"(-12.14, -12.04]",7
"(-12.04, -11.94]",8
"(-11.94, -11.84]",7
"(-11.84, -11.74]",4
"(-11.74, -11.64]",6
"(-11.64, -11.54]",5
"(-11.54, -11.44]",4
"(-11.44, -11.34]",2
"(-11.34, -11.24]",3
"(-11.24, -11.14]",5
"(-11.14, -11.04]",3
"(-11.04, -10.94]",2
"(-10.94, -10.84]",2
"(-10.84, -10.74]",1
"(-10.74, -10.64]",2
"(-10.64, -10.54]",2
"(-10.54, -10.44]",3
"(-10.44, -10.34]",0
"(-10.34, -10.24]",0
"(-10.24, -10.14]",0
"(-10.14, -10.04]",0
